DEGREE,POINTS,TEG,L3MISSRATIO,ENERGY,FLOPS_DP,FLOPS_AVX_DP
10,64,1.9825899601e-01,0.0600,0.0014,728.9178,415.7430
10,128,1.9626897573e-01,0.0417,0,702.9659,400.9412
10,200,2.0485201478e-01,0.0339,0.0014,797.3289,454.7617
10,256,2.1377897263e-01,0.0417,0,678.7980,387.1568
10,512,7.3732900620e-01,0.0455,0,776.2652,442.7479
10,600,1.9605401158e-01,0.0417,0,792.1757,451.8226
10,800,1.9500398636e-01,0.0513,0,825.2907,470.7099
10,1024,1.9974699616e-01,0.0357,0,796.3395,454.1974
10,2000,2.0798799396e-01,0.0408,0,851.9991,485.9432
10,3000,2.0038700104e-01,0.0377,0.0015,731.2644,417.0814
10,4096,1.9751700759e-01,0.0357,0,799.1472,455.7988
10,6000,2.1044901013e-01,0.0444,0,718.8215,409.9845
10,7000,1.9294202328e-01,0.0455,0,611.1905,348.5965
10,10000,2.1274501085e-01,0.0435,0,695.1971,396.5102
10,50000,5.0435900688e-01,0.0278,0,760.6630,433.8491
10,100000,1.8547499180e-01,0.0357,0,806.2424,459.8456
10,1000000,1.9355699420e-01,0.0312,0,791.1422,451.2331
10,10000000,1.9442600012e-01,0.0500,0,791.8309,451.6259
10,100000000,2.0076400042e-01,0.0500,0,781.7483,446.4318
1000,64,9.1362726033e+01,0.1345,1.6467,6690.6255,6650.6465,
1000,128,1.0795569298e+02,0.1666,1.6686,6246.8763,6209.5490
1000,200,1.0821037200e+02,0.1643,1.6554,6220.3496,6183.1807
1000,256,1.0848707500e+02,0.1680,1.6398,6172.0165,6135.1365
1000,512,1.0768864599e+02,0.1627,1.6126,6153.2985,6116.5303
1000,600,1.0772898102e+02,0.1633,1.6006,6264.9738,6227.5383
1000,800,1.0744304800e+02,0.1623,1.6253,6207.0067,6169.9176
1000,1024,1.0784574199e+02,0.1656,1.6326,6154.3948,6117.6200
1000,2000,1.0939114299e+02,0.1705,1.6067,6218.9008,6181.7406
1000,3000,1.0823693398e+02,0.1678,1.6259,6214.4315,6177.2981
1000,4096,1.0948138899e+02,0.1725,1.6248,6261.6021,6224.1868
1000,6000,1.0903424001e+02,0.1738,1.6179,6251.0599,6213.7076
1000,7000,1.0902420601e+02,0.1773,1.6522,6203.2952,6166.2282
1000,10000,1.0867461199e+02,0.1728,1.6077,6172.4769,6135.5942
1000,50000,1.0822219503e+02,0.1688,1.6158,6199.0031,6161.9619
1000,100000,1.0785154402e+02,0.1632,1.5983,6211.9028,6174.7844
