DEGREE,POINTS,TSL,L3MISSRATIO,ENERGY,FLOPS_DP,FLOPS_AVX_DP
10,64,1.4499149919e+00,0.3153,0.0017,936.3833,0
10,128,5.0003099442e-01,0.3033,0.0034,3370.2224,0
10,200,6.5574297309e-01,0.3103,0.0106,966.9742,0
10,256,8.1963998079e-01,0.3017,0.0093,924.1926,0
10,512,5.0625530183e+00,0.2370,0.0090,3353.4369,0
10,600,1.6146950126e+00,0.3879,0.0093,3652.0591,0
10,800,7.7433460057e+00,0.2134,0.0212,3455.0199,0
10,1024,2.6291019917e+00,0.2541,0.0177,3428.7249,0
10,2000,5.0320110023e+00,0.2629,0.0400,3359.4744,0
10,3000,6.7701190114e+00,0.2367,0.0403,3707.4290,0
10,4096,9.1167609990e+00,0.2000,0.0898,3440.9951,0
10,6000,1.3328839988e+01,0.1890,0.1122,3630.0284,0
10,7000,1.6596592993e+01,0.2241,0.1542,1945.1596,0
10,10000,2.3526508003e+01,0.0876,0.1507,3406.2002,0
10,50000,1.1000625300e+02,0.0024,1.1006,3664.8511,0
10,100000,2.2041273001e+02,0.0022,2.1985,3709.8547,0
10,1000000,2.1814114340e+03,0.0265,21.8898,3736.5226,0
10,10000000,2.1620557350e+04,0.0671,221.4519,3735.3418,0
10,100000000,1.8197862773e+05,0.1368,2838.4820,3838.2919,0
1000,64,1.1009353460e+03,0.2250,11.5143,3278.1051,0
1000,128,2.1811551750e+03,0.2150,22.7535,3316.2089,0
1000,200,3.3993089290e+03,0.2220,35.4386,3341.4843,0
1000,256,4.3213533120e+03,0.2016,45.6306,3353.2693,0
1000,512,8.6155958930e+03,0.1702,91.1313,3372.0401,0
1000,600,1.0111093682e+04,0.2684,106.2989,3377.2615,0
1000,800,1.3451549504e+04,0.2445,141.0238,3381.2224,0
1000,1024,1.7188443102e+04,0.1739,183.3181,3375.5882,0
1000,2000,3.3594556930e+04,0.2106,359.6051,3383.1942,0
1000,3000,5.0511206304e+04,0.3824,538.5023,3369.6302,0
1000,4096,6.9036453954e+04,0.0789,738.9130,3366.6593,0
1000,6000,1.0119873516e+05,0.0856,1091.7500,3370.3660,0
1000,7000,1.1806782996e+05,0.1022,1275.7990,3365.3328,0
1000,10000,1.6861321662e+05,0.0477,1814.0780,3364.2571,0
1000,50000,8.4376846774e+05,0.0001,9207.5440,3367.1074,0
1000,100000,1.6873329280e+06,0.0001,18262.5600,3366.4693,0
