DEGREE,POINTS,TSL,L3MISSRATIO,ENERGY,FLOPS_DP,FLOPS_AVX_DP
10,64,2.5153201818e-01,0.0566,0.0014,1626.7286,0
10,128,2.1527397633e-01,0.0581,0,1743.1650,0
10,200,2.2585800290e-01,0.1818,0.0013,1818.5732,0
10,256,2.4083700776e-01,0.1395,0.0076,1777.4609,0
10,512,8.9954501390e-01,0.0750,0,2014.1307,0
10,600,2.4614700675e-01,0.0874,0,2154.3322,0
10,800,2.5941100717e-01,0.1183,0,2185.7292,0
10,1024,2.7897000313e-01,0.0784,0.0089,1932.5512,0
10,2000,3.6854901910e-01,0.0811,0,2321.7985,0
10,3000,4.2004698515e-01,0.0857,0.0029,2160.0603,0
10,4096,4.9625900388e-01,0.0781,0.0029,2152.2088,0
10,6000,6.6850700974e-01,0.0382,0.0027,2162.5405,0
10,7000,6.8643900752e-01,0.0479,0.0091,2104.2415,0
10,10000,9.1971898079e-01,0.0461,0.0098,2106.1267,0
10,50000,1.2234507024e+01,0.0261,0.0374,2173.2780,0
10,100000,7.5154260099e+00,0.0255,0.0738,2340.1277,0
10,1000000,7.0187177986e+01,0.0074,0.7979,1914.4812,0
10,10000000,6.9211337900e+02,0.0104,7.9845,2352.9453,0
1000,64,,,0.4783,,
1000,128,6.8715530992e+01,0.2595,0.7864,1896.8198,0
1000,200,1.0580521199e+02,0.2721,1.3682,1916.8132,0
1000,256,1.3339744198e+02,0.2596,1.6647,1934.4180,0
1000,512,2.6337033501e+02,0.2786,3.3408,1966.4856,0
1000,600,3.0641591501e+02,0.2645,3.9792,1872.6706,0
1000,800,4.0818457499e+02,0.2603,5.3530,1969.6140,0
1000,1024,5.1975458300e+02,0.2618,6.8600,1981.6037,0
1000,2000,1.0145573570e+03,0.2608,13.1788,1984.8650,0
1000,3000,1.5194917870e+03,0.2593,20.0361,1981.2543,0
1000,4096,2.0809498440e+03,0.2594,27.5551,1981.3415,0
1000,6000,3.0496784300e+03,0.2609,40.3238,1986.7230,0
1000,7000,3.5382710120e+03,0.2610,46.8339,1995.6943,0
1000,10000,5.0414915970e+03,0.2637,67.2617,1999.3843,0
1000,50000,2.5240402772e+04,0.2594,337.1582,1991.5409,0
1000,100000,5.0328480760e+04,0.2562,681.8067,1996.4901,0
